isTripleDecreaseIfGrowthOverallLocalMiddle,State<:holds-State<:waits,EXCF4Y,-1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:holds-State<:waits,U,1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:holds+State<:waits,CF4,1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:holds+State<:waits,CF4ANT,-1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:holds+State<:waits,CF4NOTU,-1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:holds+State<:waits,CF4U,1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:holds+State<:waits,CF5,1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:holds+State<:waits,EXCF4N,-1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:holds+State<:waits,EXCF4Y,-1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:holds+State<:waits,U,1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits,CF4,1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits,CF4ANT,-1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits,CF4NOTU,-1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits,CF4U,1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits,CF5,1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits,EXCF4N,-1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits,EXCF4Y,-1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits,U,1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits-State<:holds,CF4,1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits-State<:holds,CF4ANT,-1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits-State<:holds,CF4NOTU,-1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits-State<:holds,CF4U,1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits-State<:holds,CF5,1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits-State<:holds,EXCF4N,-1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits-State<:holds,EXCF4Y,-1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits-State<:holds,U,1
isTripleDecreaseIfGrowthOverallLocalMiddle,State<:waits&State<:holds,CF4,1
